_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
8738,40766,2541,Bike Trail,None,Bike Trail,None,TORONTO ISLANDS - HANLAN'S POINT PARK TRAIL ( 17)
8739,41902,2541,Pond,None,Open Water,None,HANLAN'S POINT PARK - Trout Pond
8740,70162,2541,Playground,None,Playground Site,None,HANLAN'S POINT PARK - Playground
8741,132733,2541,Firepit,None,Firepit,None,TORONTO ISLANDS - HANLAN'S POINT PARK - Firepit (  4)
8742,967664,2541,Picnic Shelter,picnic,Shelter,None,TORONTO ISLANDS - HANLAN'S POINT PARK - Shade Structure (  3)
8743,2148,2542,Drinking Fountain,None,Drinking Fountain Count,None,HTO PARK WEST - Drinking Water Source
8744,2532,2543,Drinking Fountain,None,Drinking Fountain Count,None,TORONTO ISLANDS - OLYMPIC ISLAND PARK - Drinking Water Source (  1)
8745,4939,2543,Firepit,None,Firepit,None,TORONTO ISLANDS - OLYMPIC ISLAND PARK - Firepit (  1)
8746,4941,2543,Firepit,None,Firepit,None,TORONTO ISLANDS - OLYMPIC ISLAND PARK - Firepit (  2)
8747,4942,2543,Firepit,None,Firepit,None,TORONTO ISLANDS - OLYMPIC ISLAND PARK - Firepit (  3)
8748,4948,2543,Picnic Site,picnic,Picnic Site,None,OLYMPIC ISLAND PARK - Picnic Site ( 17)
8749,4949,2543,Picnic Site,picnic,Picnic Site,None,OLYMPIC ISLAND PARK - Picnic Site ( 18)
8750,4951,2543,Picnic Site,picnic,Picnic Site,None,OLYMPIC ISLAND PARK - Picnic Site ( 22)
8751,4952,2543,Picnic Site,picnic,Picnic Site,None,OLYMPIC ISLAND PARK - Picnic Site ( 21)
8752,4959,2543,Picnic Site,picnic,Picnic Site,None,OLYMPIC ISLAND PARK - Picnic Site ( 23)
8753,18746,2543,Drinking Fountain,None,Drinking Fountain Count,None,TORONTO ISLANDS - OLYMPIC ISLAND PARK - Drinking Water Source (  2)
8754,18747,2543,Drinking Fountain,None,Drinking Fountain Count,None,TORONTO ISLANDS - OLYMPIC ISLAND PARK - Drinking Water Source (  3)
8755,29705,2543,Washroom Facility,None,Washroom Building,None,OLYMPIC ISLAND PARK WASHROOMS - BUILDING 47
8756,34140,2543,Playground,None,Playground Site,None,TORONTO ISLANDS - OLYMPIC ISLAND PARK - Playground W
8757,70202,2543,Playground,None,Playground Site,None,TORONTO ISLANDS - OLYMPIC ISLAND PARK - Playground E
8758,67542,2545,Playground,None,Playground Site,None,REES STREET PARKETTE - Playground
8759,2806,2547,Beach,None,Beach,None,SUGAR BEACH (sand only)
8760,33894,2548,Playground,None,Playground Site,None,ROSEMOUNT GARDENS PARKETTE - Playground
8761,34526,2549,Playground,None,Playground Site,None,JANDA PARK - Playground
8762,34329,2550,Playground,None,Playground Site,None,ELIJAH PARK - Playground
8763,102053,2550,Bottle Filling Station,None,Water Bottle Filling Count,None,ELIJAH PARK - Drinking Water Source
8764,102053,2550,Dog Fountain,None,Dog Fountain Count,None,ELIJAH PARK - Drinking Water Source
8765,102053,2550,Drinking Fountain,None,Drinking Fountain Count,None,ELIJAH PARK - Drinking Water Source
8766,34331,2552,Playground,None,Playground Site,None,RANCHDALE PARK - Playground
8767,2329,2554,Drinking Fountain,None,Drinking Fountain Count,None,ERWIN KRICKHAHN PARK - Drinking Water Source
8768,34053,2554,Playground,None,Playground Site,None,ERWIN KRICKHAHN PARK - Playground
8769,22489,2555,Bike Trail,None,Bike Trail,None,ELMCREST CREEK TRAIL ( 28)
8770,22492,2555,Bike Trail,None,Bike Trail,None,ELMCREST CREEK TRAIL ( 30)
8771,22497,2555,Bike Trail,None,Bike Trail,None,ELMCREST CREEK TRAIL ( 35)
8772,22498,2555,Bike Trail,None,Bike Trail,None,ELMCREST CREEK TRAIL ( 36)
8773,22499,2555,Bike Trail,None,Bike Trail,None,ELMCREST CREEK TRAIL ( 37)
8774,22500,2555,Bike Trail,None,Bike Trail,None,ELMCREST CREEK TRAIL ( 38)
8775,33906,2556,Playground,None,Playground Site,None,RUSTIC PARK - Playground
8776,75028,2556,Outdoor Table Tennis,None,Outdoor Table Tennis,None,RUSTIC PARK - Outdoor Table Tennis
8777,75029,2556,Outdoor Chess Table,None,Outdoor Chess Table,None,RUSTIC PARK - Outdoor Chess Table (  1)
8778,75030,2556,Outdoor Chess Table,None,Outdoor Chess Table,None,RUSTIC PARK - Outdoor Chess Table (  2)
8779,75031,2556,Gazebo,None,Gazebo,None,RUSTIC PARK - Shade Structure
8780,102103,2556,Bottle Filling Station,None,Water Bottle Filling Count,None,RUSTIC PARK - Drinking Water Source
8781,3842,2563,Outdoor Bocce Court,None,Outdoor Bocce Court,None,LUIGI BONI BOCCE COURTS - Outdoor Bocce Court (  1)
8782,3843,2563,Outdoor Bocce Court,None,Outdoor Bocce Court,None,LUIGI BONI BOCCE COURTS - Outdoor Bocce Court (  2)
8783,33837,2563,Playground,None,Playground Site,None,RIDGE PARK - Playground
8784,73722,2563,Sport Field,sport,Soccer Field - C,C,RIDGE PARK - Soccer Field
8785,2663,2565,Drinking Fountain,None,Drinking Fountain Count,None,ROBERT HICKS PARK - Drinking Water Source
8786,33888,2565,Playground,None,Playground Site,None,ROBERT HICKS PARK - Playground
8787,2389,2568,Drinking Fountain,None,Drinking Fountain Count,None,COSBURN PARK - Drinking Water Source (  1)
8788,3387,2568,Outdoor Tennis Court,None,Outdoor Tennis Court,None,COSBURN PARK - Outdoor Tennis Court (  1)
8789,3388,2568,Outdoor Tennis Court,None,Outdoor Tennis Court,None,COSBURN PARK - Outdoor Tennis Court (  2)
8790,3389,2568,Outdoor Tennis Court,None,Outdoor Tennis Court,None,COSBURN PARK - Outdoor Tennis Court (  3)
8791,3390,2568,Outdoor Tennis Court,None,Outdoor Tennis Court,None,COSBURN PARK - Outdoor Tennis Court (  4)
8792,3391,2568,Outdoor Tennis Court,None,Outdoor Tennis Court,None,COSBURN PARK - Outdoor Tennis Court (  5)
8793,28044,2568,Bowling Green,None,Bowling Green,None,COSBURN PARK - Bowling Green (  1)
8794,28045,2568,Bowling Green,None,Bowling Green,None,COSBURN PARK - Bowling Green (  2)
8795,29792,2568,Kitchen,room,Kitchen,None,EAST YORK TENNIS CLUB - Kitchen
8796,32256,2568,Parking Lot,None,Outdoor Parking Lot,None,COSBURN PARK - Outdoor Parking Lot
8797,102218,2568,Drinking Fountain,None,Drinking Fountain Count,None,COSBURN PARK - Drinking Water Source (  2)
8798,34328,2569,Playground,None,Playground Site,None,ERNIE LUSTIG - RAINBOW PARK - Playground
8799,74603,2569,Outdoor Chess Table,None,Outdoor Chess Table,None,ERNIE LUSTIG - RAINBOW PARK - Outdoor Chess Table (  1)
8800,74604,2569,Outdoor Chess Table,None,Outdoor Chess Table,None,ERNIE LUSTIG - RAINBOW PARK - Outdoor Chess Table (  2)
8801,33899,2573,Playground,None,Playground Site,None,ROWATSON PARK - Playground
8802,2653,2574,Drinking Fountain,None,Drinking Fountain Count,None,ROWENA PARK - Drinking Water Source
8803,33900,2574,Playground,None,Playground Site,None,ROWENA PARK - Playground
8804,2651,2576,Drinking Fountain,None,Drinking Fountain Count,None,ROYAL ROUGE TOT LOT - Drinking Water Source
8805,33902,2576,Playground,None,Playground Site,None,ROYAL ROUGE TOT LOT - Playground
8806,33954,2578,Playground,None,Playground Site,None,ALLANHURST PARK - Playground
8807,2646,2579,Drinking Fountain,None,Drinking Fountain Count,None,SADDLETREE PARK - Drinking Water Source
8808,3773,2579,Outdoor Basketball Court,None,Basketball Court,None,SADDLETREE PARK - Basketball Court
8809,33908,2579,Playground,None,Playground Site,None,SADDLETREE PARK - Playground
8810,34101,2582,Playground,None,Playground Site,None,KNIGHTS OF COLUMBUS PARK - Playground
8811,33910,2584,Playground,None,Playground Site,None,SANDOVER PARK - Playground
8812,103208,2584,Drinking Fountain,None,Drinking Fountain Count,None,SANDOVER PARK - Drinking Water Source
8813,102186,2585,Drinking Fountain,None,Drinking Fountain Count,None,PARKVIEW GARDENS - Drinking Water Source
8814,74190,2586,Playground,None,Playground Site,None,KEMPFORD PARKETTE - Playground
8815,34179,2587,Playground,None,Playground Site,None,SHEPTON WAY PARK - Playground
8816,32428,2591,Parking Lot,None,Outdoor Parking Lot,None,CANADIAN UKRAINIAN MEMORIAL PARK - Outdoor Parking Lot
